,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
102,small,small,small,small,small,small,medium,large,large,small,small,medium,small,small,small,small
103,small,small,small,small,small,small,small,small,small,small,small,medium,large,large,small,small
104,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
105,small,medium,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
106,small,small,small,small,small,small,medium,medium,medium,small,small,small,small,small,small,small
107,small,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,small,small
108,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
109,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
110,small,small,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
111,small,small,small,small,small,small,small,medium,medium,small,small,small,small,small,small,small
112,small,small,small,small,small,small,small,small,small,small,small,small,medium,medium,small,small
113,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
114,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
115,small,large,small,small,small,small,small,small,small,small,small,small,small,small,small,small
116,small,small,small,small,small,small,large,small,small,small,small,small,small,small,small,small
117,small,small,small,small,small,small,small,small,small,small,small,large,small,small,small,small
118,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
119,small,large,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
120,small,large,medium,small,small,small,large,small,medium,small,small,small,small,small,small,small
121,small,small,small,small,small,small,large,medium,small,small,small,large,small,medium,small,small
122,small,small,large,large,small,small,small,small,small,small,small,large,medium,small,small,small
123,small,small,large,medium,small,small,small,large,large,small,small,small,small,small,small,small
124,small,small,small,small,small,small,small,large,medium,small,small,small,large,large,small,small
125,small,large,small,small,small,small,small,small,small,small,small,small,large,medium,small,small
126,small,large,medium,large,small,small,large,small,small,small,small,small,small,small,small,small
127,medium,medium,large,large,small,medium,large,medium,large,small,small,large,small,small,small,small
128,small,medium,medium,medium,medium,medium,medium,large,large,small,medium,large,medium,large,small,small
129,small,small,small,small,small,medium,medium,medium,medium,medium,medium,medium,large,large,small,medium
130,small,small,small,small,small,small,small,small,small,small,medium,medium,medium,medium,medium,medium
131,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,medium
132,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
133,small,medium,small,small,small,small,small,small,small,small,small,small,small,small,small,small
134,small,small,small,small,small,small,medium,small,small,small,small,small,small,small,small,small
135,small,small,small,small,small,small,small,small,small,small,small,medium,small,small,small,small
136,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
137,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
138,small,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
139,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
140,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
141,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
142,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
143,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
144,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
145,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
146,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
147,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
148,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
149,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
150,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
151,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
152,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
153,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
154,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
155,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
156,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
157,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
158,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
159,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
160,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
